actor_id,first_name,last_name,last_update
1,Penelope,Guiness,2013-05-26 14:47:57.62
2,Nick,Wahlberg,2013-05-26 14:47:57.62
10,Christian,Gable,2013-05-26 14:47:57.62
19,Bob,Fawcett,2013-05-26 14:47:57.62
20,Lucille,Tracy,2013-05-26 14:47:57.62
21,Kirsten,Paltrow,2013-05-26 14:47:57.62
22,Elvis,Marx,2013-05-26 14:47:57.62
23,Sandra,Kilmer,2013-05-26 14:47:57.62
24,Cameron,Streep,2013-05-26 14:47:57.62
26,Rip,Crawford,2013-05-26 14:47:57.62
29,Alec,Wayne,2013-05-26 14:47:57.62
30,Sandra,Peck,2013-05-26 14:47:57.62
35,Judy,Dean,2013-05-26 14:47:57.62
37,Val,Bolger,2013-05-26 14:47:57.62
40,Johnny,Cage,2013-05-26 14:47:57.62
41,Jodie,Degeneres,2013-05-26 14:47:57.62
51,Gary,Phoenix,2013-05-26 14:47:57.62
53,Mena,Temple,2013-05-26 14:47:57.62
55,Fay,Kilmer,2013-05-26 14:47:57.62
59,Dustin,Tautou,2013-05-26 14:47:57.62
62,Jayne,Neeson,2013-05-26 14:47:57.62
64,Ray,Johansson,2013-05-26 14:47:57.62
68,Rip,Winslet,2013-05-26 14:47:57.62
81,Scarlett,Damon,2013-05-26 14:47:57.62
85,Minnie,Zellweger,2013-05-26 14:47:57.62
88,Kenneth,Pesci,2013-05-26 14:47:57.62
90,Sean,Guiness,2013-05-26 14:47:57.62
96,Gene,Willis,2013-05-26 14:47:57.62
99,Jim,Mostel,2013-05-26 14:47:57.62
103,Matthew,Leigh,2013-05-26 14:47:57.62
108,Warren,Nolte,2013-05-26 14:47:57.62
110,Susan,Davis,2013-05-26 14:47:57.62
117,Renee,Tracy,2013-05-26 14:47:57.62
123,Julianne,Dench,2013-05-26 14:47:57.62
130,Greta,Keitel,2013-05-26 14:47:57.62
133,Richard,Penn,2013-05-26 14:47:57.62
137,Morgan,Williams,2013-05-26 14:47:57.62
138,Lucille,Dee,2013-05-26 14:47:57.62
142,Jada,Ryder,2013-05-26 14:47:57.62
147,Fay,Winslet,2013-05-26 14:47:57.62
157,Greta,Malden,2013-05-26 14:47:57.62
160,Chris,Depp,2013-05-26 14:47:57.62
162,Oprah,Kilmer,2013-05-26 14:47:57.62
169,Kenneth,Hoffman,2013-05-26 14:47:57.62
170,Mena,Hopper,2013-05-26 14:47:57.62
175,William,Hackman,2013-05-26 14:47:57.62
181,Matthew,Carrey,2013-05-26 14:47:57.62
185,Michael,Bolger,2013-05-26 14:47:57.62
188,Rock,Dukakis,2013-05-26 14:47:57.62
194,Meryl,Allen,2013-05-26 14:47:57.62
197,Reese,West,2013-05-26 14:47:57.62
198,Mary,Keitel,2013-05-26 14:47:57.62
200,Thora,Temple,2013-05-26 14:47:57.62
