Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,25.20,25.42,22.49,24.47,31172200,24.47
2014-09-02,24.94,25.42,24.46,25.17,26765000,25.17
2014-08-01,25.14,25.37,24.27,24.99,25618200,24.80
2014-07-01,24.99,26.08,24.77,25.23,28632100,25.04
2014-06-02,24.64,25.17,24.40,24.85,25697300,24.48
2014-05-01,23.14,24.93,22.43,24.62,40256600,24.25
2014-04-01,22.33,23.64,22.30,23.11,39555500,22.76
2014-03-03,21.57,22.69,21.27,22.42,42643900,21.89
2014-02-03,21.93,22.92,21.40,21.80,52251700,21.29
2014-01-02,22.17,23.00,21.60,21.91,43360500,21.40
2013-12-02,21.29,22.47,20.22,22.43,46262000,21.74
2013-11-01,22.66,24.00,20.77,21.25,55668900,20.59
2013-10-01,23.33,23.48,22.10,22.56,39620000,21.86
2013-09-03,23.58,24.80,23.02,23.43,34501200,22.54
2013-08-01,25.79,26.49,23.22,23.31,40316900,22.43
2013-07-01,24.42,26.15,24.22,25.59,32348900,24.62
2013-06-03,24.26,24.98,23.88,24.34,38610200,23.25
2013-05-01,20.83,24.68,20.29,24.12,52308700,23.04
2013-04-01,21.04,21.70,19.98,20.92,37312400,19.99
2013-03-01,20.71,21.98,20.55,20.90,35363300,19.81
2013-02-01,20.73,21.67,20.44,20.86,38285800,19.77
2013-01-02,20.12,21.26,20.01,20.57,37874800,19.50
2012-12-03,19.02,20.54,18.95,19.65,40627900,18.62
2012-11-01,17.17,19.13,16.68,18.91,45381900,17.92
2012-10-01,19.23,19.40,17.01,17.15,37605400,16.13
2012-09-04,18.99,19.75,18.35,19.10,40711700,17.84
2012-08-01,16.01,19.39,15.65,19.08,46758500,17.82
2012-07-02,17.11,17.23,14.96,15.95,40588400,14.90
2012-06-01,16.08,17.63,15.92,17.17,41742000,15.96
2012-05-01,20.11,20.16,16.26,16.33,56781800,15.18
2012-04-02,21.14,21.30,19.27,20.16,40416100,18.74
2012-03-01,19.91,21.24,19.32,21.15,39155400,19.59
2012-02-01,19.84,20.49,19.70,19.88,52738700,18.41
2012-01-03,18.55,20.07,18.35,19.65,42070300,18.20
2011-12-01,18.68,19.07,17.62,18.08,43101700,16.69
2011-11-01,18.05,19.19,17.22,18.64,59276000,17.20
2011-10-03,15.30,18.60,14.93,18.53,59886900,17.10
2011-09-01,15.69,16.84,14.96,15.50,66928900,14.25
2011-08-01,16.08,16.25,13.30,15.67,89401400,14.41
2011-07-01,15.63,16.50,15.27,15.97,61588800,14.68
2011-06-01,16.76,16.77,14.78,15.61,78396000,14.30
2011-05-02,17.51,17.99,16.11,16.80,77302000,15.39
2011-04-01,17.29,18.29,16.52,17.52,89154500,16.05
2011-03-01,18.67,18.79,16.97,17.15,69152300,15.71
2011-02-01,21.27,22.34,18.23,18.56,109806700,16.94
2011-01-03,20.45,21.61,20.38,21.15,51678500,19.30
2010-12-01,19.34,20.51,19.00,20.23,65133700,18.46
2010-11-01,22.95,24.60,19.13,19.16,110674300,17.49
2010-10-01,22.12,23.90,21.50,22.86,43776200,20.86
2010-09-01,20.35,22.31,20.25,21.90,60027500,19.99
2010-08-02,23.43,24.87,19.82,19.99,72313900,18.24
2010-07-01,21.20,26.00,20.93,23.07,52895400,21.05
2010-06-01,22.94,23.94,21.24,21.31,61953700,19.45
2010-05-03,27.03,27.69,22.56,23.16,74995300,21.14
2010-04-01,26.20,27.74,25.66,26.93,45784100,24.58
2010-03-01,24.33,26.85,24.32,26.03,53211000,23.76
2010-02-01,22.65,24.46,22.38,24.33,56215800,22.20
2010-01-04,24.11,25.10,22.35,22.47,52864200,20.51
2009-12-01,23.43,24.42,23.02,23.94,34980500,21.85
2009-11-02,22.87,24.11,22.55,23.40,44175900,21.36
