Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,189.91,190.89,161.10,164.40,6611800,163.28
2014-09-02,192.68,195.00,188.12,189.83,3195800,188.54
2014-08-01,190.50,194.13,183.58,192.30,2684000,190.99
2014-07-01,181.70,196.40,181.70,191.67,4627500,189.25
2014-06-02,184.76,187.65,179.27,181.27,3939300,178.98
2014-05-01,196.31,196.74,182.33,184.36,3554200,182.03
2014-04-01,193.12,199.21,187.01,196.47,5840600,192.86
2014-03-03,183.33,195.63,182.21,192.49,6072400,188.96
2014-02-03,176.02,186.12,172.19,185.17,4827500,181.77
2014-01-02,187.21,190.81,175.34,176.68,6127700,172.49
2013-12-02,179.46,187.79,172.73,187.57,4838700,183.12
2013-11-01,179.81,186.24,177.31,179.68,5192700,175.42
2013-10-01,185.34,186.99,172.57,179.21,5881900,174.03
2013-09-03,183.63,194.89,182.31,185.18,3773300,179.82
2013-08-01,196.65,197.17,181.10,182.27,3445800,177.00
2013-07-01,192.15,200.94,190.26,195.04,4176700,188.46
2013-06-03,208.25,210.05,188.41,191.11,4513500,184.66
2013-05-01,201.87,211.98,199.20,208.02,4346900,201.00
2013-04-01,212.80,214.89,187.68,202.54,5282100,194.79
2013-03-01,200.65,215.90,199.36,213.30,3988600,205.14
2013-02-01,204.65,205.35,197.51,200.83,3622800,193.15
2013-01-02,194.09,208.58,190.39,203.07,4320300,194.48
2012-12-03,190.76,196.45,186.94,191.55,4200200,183.45
2012-11-01,194.68,198.00,184.78,190.07,4134700,182.03
2012-10-01,208.01,211.79,190.56,194.53,4867000,185.49
2012-09-04,196.61,208.32,193.25,207.45,4329000,197.81
2012-08-01,196.96,202.00,193.02,194.85,2775900,185.80
2012-07-02,196.36,197.84,181.85,195.98,4524900,186.08
2012-06-01,190.12,199.99,187.00,195.58,4277000,185.70
2012-05-01,207.18,208.93,192.00,192.90,4331400,183.16
2012-04-02,208.96,210.69,196.79,207.08,4468800,195.80
2012-03-01,197.23,209.12,196.81,208.65,4150500,197.28
2012-02-01,193.21,199.23,190.83,196.73,4196300,186.01
2012-01-03,186.73,193.10,177.35,192.60,5742000,181.40
2011-12-01,187.01,194.90,179.04,183.88,5093600,173.19
2011-11-01,181.55,189.97,177.06,188.00,4992900,177.07
2011-10-03,174.36,190.53,168.88,184.63,7108200,173.20
2011-09-01,172.71,180.91,158.76,174.87,6938200,164.04
2011-08-01,182.60,183.69,157.13,171.91,8744700,161.27
2011-07-01,171.61,185.63,171.49,181.85,6012900,169.85
2011-06-01,168.90,172.45,161.52,171.55,5024800,160.23
2011-05-02,172.11,173.54,165.90,168.93,5710800,157.78
2011-04-01,163.70,173.00,162.19,170.58,5317800,158.62
2011-03-01,163.15,167.72,151.71,163.07,5807600,151.63
2011-02-01,162.11,166.25,159.03,161.88,4938900,150.53
2011-01-03,147.21,164.35,146.64,162.00,6301400,150.04
2010-12-01,143.61,147.50,143.51,146.76,4380100,135.93
2010-11-01,143.64,147.53,141.18,141.46,5322400,131.02
2010-10-01,135.51,144.00,134.39,143.60,6939200,132.41
2010-09-01,125.31,136.11,124.52,134.14,5834200,123.69
2010-08-02,129.25,132.49,122.28,123.13,5591700,113.54
2010-07-01,123.55,131.60,120.61,128.40,7147600,117.81
2010-06-01,124.69,131.94,122.82,123.48,7728900,113.30
2010-05-03,129.39,133.10,116.00,125.26,9793300,114.93
2010-04-01,128.95,132.28,127.12,129.00,7271100,117.76
2010-03-01,127.50,130.73,125.20,128.25,6300000,117.08
2010-02-01,123.23,128.27,121.61,127.16,6210200,116.08
2010-01-04,131.18,134.25,121.90,122.39,8825300,111.23
2009-12-01,127.29,132.85,126.00,130.90,5849900,118.96
2009-11-02,120.77,128.94,119.50,126.35,5852500,114.83
