Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,40.66,46.52,36.20,46.05,32907000,46.05
2014-09-02,38.90,44.01,37.90,40.75,59562900,40.75
2014-08-01,35.69,38.72,35.15,38.51,14516900,38.51
2014-07-01,35.50,36.99,32.93,35.81,24392600,35.81
2014-06-02,34.69,37.06,33.02,35.13,17672000,35.13
2014-05-01,36.26,37.17,33.10,34.65,20377100,34.65
2014-04-01,36.16,37.30,32.15,35.95,29490300,35.95
2014-03-03,37.65,40.15,35.05,35.90,19714800,35.90
2014-02-03,35.94,39.38,34.66,38.67,15895000,38.67
2014-01-02,40.37,41.72,34.45,36.01,22947000,36.01
2013-12-02,37.04,41.05,36.25,40.44,15105900,40.44
2013-11-01,33.15,37.35,32.06,36.98,16738800,36.98
2013-10-01,33.36,35.06,31.70,32.94,24592600,32.94
2013-09-03,27.38,33.85,27.37,33.17,19355900,33.17
2013-08-01,28.35,28.60,26.75,27.12,12955200,27.12
2013-07-01,25.26,29.83,24.82,28.09,22433900,28.09
2013-06-03,26.37,27.12,23.82,25.13,17054000,25.13
2013-05-01,24.67,27.68,24.18,26.30,18279000,26.30
2013-04-01,23.31,25.37,22.70,24.73,18242700,24.73
2013-03-01,21.36,23.88,21.26,23.53,19990700,23.53
2013-02-01,19.77,21.57,19.31,21.31,18966100,21.31
2013-01-02,20.20,20.88,18.89,19.63,24686400,19.63
2012-12-03,18.55,19.97,18.34,19.90,21496100,19.90
2012-11-01,16.90,19.16,16.86,18.77,27813200,18.77
2012-10-01,16.00,16.89,15.65,16.84,23074600,16.84
2012-09-04,14.64,16.20,14.59,15.98,21900500,15.98
2012-08-01,15.86,16.37,14.59,14.65,17527600,14.65
2012-07-02,15.80,16.17,15.23,15.84,15348400,15.84
2012-06-01,15.04,15.83,14.81,15.83,14102700,15.83
2012-05-01,15.51,16.00,14.80,15.24,19935500,15.24
2012-04-02,15.19,15.70,14.73,15.54,16640200,15.54
2012-03-01,14.89,15.61,14.35,15.22,15408200,15.22
2012-02-01,15.57,16.31,14.37,14.83,22020900,14.83
2012-01-03,16.27,16.39,15.35,15.47,18167300,15.47
2011-12-01,16.42,16.46,14.57,16.13,21943000,16.13
2011-11-01,14.95,16.50,14.75,15.71,24382900,15.71
2011-10-03,13.70,16.79,13.37,15.64,36438000,15.64
2011-09-01,13.67,15.40,12.45,13.17,42743300,13.17
2011-08-01,13.24,13.98,11.09,13.61,33473700,13.61
2011-07-01,15.08,15.95,13.04,13.10,29550000,13.10
2011-06-01,16.34,16.43,14.50,15.04,25772600,15.04
2011-05-02,17.79,18.84,15.63,16.55,41113700,16.55
2011-04-01,16.83,17.77,16.06,17.70,20728700,17.70
2011-03-01,16.46,17.70,15.81,16.68,25018300,16.68
2011-02-01,16.33,17.84,16.04,16.40,24578700,16.40
2011-01-03,16.81,17.34,15.41,16.12,23201900,16.12
2010-12-01,16.00,17.22,16.00,16.63,12970200,16.63
2010-11-01,16.50,17.60,15.77,15.82,21166800,15.82
2010-10-01,14.19,16.76,14.13,16.49,29726500,16.49
2010-09-01,13.20,14.53,13.13,14.17,27527400,14.17
2010-08-02,14.01,14.52,12.94,13.11,13811800,13.11
2010-07-01,13.99,15.60,13.52,13.88,24186600,13.88
2010-06-01,15.31,15.84,13.79,13.84,21523300,13.84
2010-05-03,16.68,16.99,14.63,15.34,26797300,15.34
2010-04-01,16.58,19.12,16.22,16.53,33650200,16.53
2010-03-01,15.43,16.94,15.40,16.53,21831600,16.53
2010-02-01,15.14,15.71,14.48,15.31,21501000,15.31
2010-01-04,16.94,17.30,14.90,15.01,24600000,15.01
2009-12-01,15.03,16.99,14.85,16.78,18305700,16.78
2009-11-02,15.75,16.36,14.80,14.97,20043500,14.97
